contrato,produto
1.331659064,CONTROLE
1.333502746,CONTROLE
1.297946545,CONTROLE
1.297940543,CONTROLE
1.313465374,LIVE
1.335751343,Live
1.338572912,CONTROLE
1.313907035,CONTROLE
1.332589346,POS
1.328061749,POS
1.335148804,CONTROLE
1.327966034,CONTROLE
1.334892312,CONTROLE
1.335825809,POS
1.335016405,CONTROLE
1.337275458,CONTROLE
1.321783061,CONTROLE
1.330044765,LIVE
1.72106048,POS
1.331328603,CONTROLE
1.331763024,CONTROLE
1.324820467,CONTROLE
1.338284329,CONTROLE
1.317132163,CONTROLE
1.323563266,LIVE
1.323563710,POS
1.314932142,CONTROLE
1.319975762,CONTROLE
1.331334420,CONTROLE
1.327748023,CONTROLE
1.330767171,CONTROLE
1.336851477,CONTROLE
1.320422350,POS
1.85543234,CONTROLE
1.334823527,CONTROLE
1.331730767,CONTROLE
1.334040823,CONTROLE
1.76544381,CONTROLE
1.264058673,CONTROLE
1.330441243,CONTROLE
1.331500651,CONTROLE
1.331184311,CONTROLE
1.86460708,CONTROLE
1.335194701,CONTROLE
1.321628547,CONTROLE
1.334678153,CONTROLE
1.334876792,CONTROLE
1.333482414,CONTROLE
1.324978000,CONTROLE
1.325039620,CONTROLE
1.324978818,CONTROLE
1.328332170,LIVE
1.334964011,CONTROLE
1.336421549,CONTROLE
1.337256811,CONTROLE
1.88119495,CONTROLE
1.320873683,POS
1.319193533,CONTROLE
1.339126683,CONTROLE
1.325743380,CONTROLE
1.325749872,CONTROLE
1.86204338,CONTROLE
1.81465256,CONTROLE
1.334776758,CONTROLE
1.262429299,CONTROLE
1.334095797,CONTROLE
1.330569921,CONTROLE
1.335192888,CONTROLE
1.315745009,CONTROLE
1.333167005,CONTROLE
1.262586109,LIVE
1.312524871,CONTROLE
1.82949736,CONTROLE
1.330083568,CONTROLE
1.334594697,CONTROLE
1.333822493,POS
1.83623256,CONTROLE
1.335227463,CONTROLE
1.340741690,CONTROLE
1.338922121,CONTROLE
1.325221941,CONTROLE
1.334056981,CONTROLE
1.86088123,CONTROLE
1.328576581,CONTROLE
1.336944432,CONTROLE
1.335457094,CONTROLE
1.320924693,POS
1.330967746,CONTROLE
1.329148537,CONTROLE
1.334301960,CONTROLE
1.316245726,POS
1.336584316,CONTROLE
1.333402872,CONTROLE
1.333327167,CONTROLE
1.328874804,LIVE
1.318459687,POS
1.341645793,LIVE
1.85242947,LIVE
1.334250536,POS
1.318945969,LIVE
1.325961781,CONTROLE
1.335775977,CONTROLE
1.333081288,LIVE
1.330061601,POS
1.335677661,CONTROLE
1.81786773,CONTROLE
1.316716146,CONTROLE
1.328735823,LIVE
1.329869585,CONTROLE
1.335784855,CONTROLE
1.332693462,CONTROLE
1.329391650,LIVE
1.337949110,CONTROLE
1.88477560,CONTROLE
1.325864560,CONTROLE
1.63264956,POS
1.63265267,CONTROLE
1.63265564,CONTROLE
1.63270590,POS
1.63379427,POS
1.329822621,CONTROLE
1.323992990,LIVE
1.336423027,CONTROLE
1.334482455,CONTROLE
1.330662754,CONTROLE
1.324614836,POS
1.328773282,CONTROLE
1.335232221,CONTROLE
1.330320886,CONTROLE
1.335750703,CONTROLE
7.2055959,CORPORATE
