contrato,bloqueio
1.262169017,MIGRACAO INDEVIDA
1.324906786,MIGRACAO INDEVIDA
1.87488492,MIGRACAO INDEVIDA
1.88060603,MIGRACAO INDEVIDA
1.77470637,MIGRACAO INDEVIDA
1.76996331,MIGRACAO INDEVIDA
1.71952408,MIGRACAO INDEVIDA
1.317689012,MIGRACAO INDEVIDA
1.81004576,MIGRACAO INDEVIDA
1.263934114,MIGRACAO INDEVIDA
1.79906003,MIGRACAO INDEVIDA
1.320074014,MIGRACAO INDEVIDA
1.320074949,MIGRACAO INDEVIDA
1.86093566,MIGRACAO INDEVIDA
1.331640646,MIGRACAO INDEVIDA
1.314900561,MIGRACAO INDEVIDA
1.318105500,MIGRACAO INDEVIDA
1.85304410,MIGRACAO INDEVIDA
1.47385005,MIGRACAO INDEVIDA
1.85743616,MIGRACAO INDEVIDA
1.317969284,MIGRACAO INDEVIDA
1.325146612,MIGRACAO INDEVIDA
1.77774009,MIGRACAO INDEVIDA
1.318061002,MIGRACAO INDEVIDA
1.81544136,MIGRACAO INDEVIDA
1.333169542,MIGRACAO INDEVIDA
1.317676714,MIGRACAO INDEVIDA
1.72179770,MIGRACAO INDEVIDA
1.72180726,MIGRACAO INDEVIDA
1.337503601,MIGRACAO INDEVIDA
1.265093860,MIGRACAO INDEVIDA
1.265093960,MIGRACAO INDEVIDA
1.330184908,MIGRACAO INDEVIDA
1.265223362,MIGRACAO INDEVIDA
1.296509924,MIGRACAO INDEVIDA
1.317068896,MIGRACAO INDEVIDA
1.263875362,MIGRACAO INDEVIDA
1.317629033,MIGRACAO INDEVIDA
1.312655253,MIGRACAO INDEVIDA
1.82690104,MIGRACAO INDEVIDA
1.84416054,MIGRACAO INDEVIDA
1.309937327,MIGRACAO INDEVIDA
1.309936114,MIGRACAO INDEVIDA
1.309916780,MIGRACAO INDEVIDA
1.309915220,MIGRACAO INDEVIDA
1.263279856,MIGRACAO INDEVIDA
1.315271610,MIGRACAO INDEVIDA
1.71243964,MIGRACAO INDEVIDA
1.329048622,MIGRACAO INDEVIDA
1.81690839,MIGRACAO INDEVIDA
1.335279514,MIGRACAO INDEVIDA
1.335733589,MIGRACAO INDEVIDA
1.335747026,MIGRACAO INDEVIDA
1.314265902,MIGRACAO INDEVIDA
1.319434537,MIGRACAO INDEVIDA
1.83899457,MIGRACAO INDEVIDA
1.67469881,MIGRACAO INDEVIDA
1.340155762,MIGRACAO INDEVIDA
1.320961962,MIGRACAO INDEVIDA
1.278167445,MIGRACAO INDEVIDA
1.316504601,MIGRACAO INDEVIDA
1.72113497,MIGRACAO INDEVIDA
1.86080503,MIGRACAO INDEVIDA
1.326879752,MIGRACAO INDEVIDA
1.315790185,MIGRACAO INDEVIDA
1.85653887,MIGRACAO INDEVIDA
1.75129444,MIGRACAO INDEVIDA
1.71900929,MIGRACAO INDEVIDA
1.84680825,MIGRACAO INDEVIDA
1.299326833,MIGRACAO INDEVIDA
1.319920258,MIGRACAO INDEVIDA
1.79191665,MIGRACAO INDEVIDA
1.81195606,MIGRACAO INDEVIDA
1.262572605,MIGRACAO INDEVIDA
1.77128183,MIGRACAO INDEVIDA
1.83658014,MIGRACAO INDEVIDA
1.314950971,MIGRACAO INDEVIDA
1.324270848,MIGRACAO INDEVIDA
1.321717086,MIGRACAO INDEVIDA
1.264587185,MIGRACAO INDEVIDA
1.324235511,MIGRACAO INDEVIDA
1.87145653,MIGRACAO INDEVIDA
1.87124386,MIGRACAO INDEVIDA
1.327903767,MIGRACAO INDEVIDA
1.84054250,MIGRACAO INDEVIDA
1.278394545,MIGRACAO INDEVIDA
1.317101887,MIGRACAO INDEVIDA
1.78561098,MIGRACAO INDEVIDA
1.78561078,MIGRACAO INDEVIDA
1.84737230,MIGRACAO INDEVIDA
1.29718892,MIGRACAO INDEVIDA
1.261366494,MIGRACAO INDEVIDA
1.83862650,MIGRACAO INDEVIDA
1.81295201,MIGRACAO INDEVIDA
1.333422115,MIGRACAO INDEVIDA
1.286271221,MIGRACAO INDEVIDA
1.318379173,MIGRACAO INDEVIDA
1.82203470,MIGRACAO INDEVIDA
1.320619755,MIGRACAO INDEVIDA
1.88192647,MIGRACAO INDEVIDA
1.316009878,MIGRACAO INDEVIDA
1.319594501,MIGRACAO INDEVIDA
1.321765383,MIGRACAO INDEVIDA
1.330709790,MIGRACAO INDEVIDA
1.318711787,MIGRACAO INDEVIDA
7.2085302,MIGRACAO INDEVIDA
1.320171683,MIGRACAO INDEVIDA
1.327305701,MIGRACAO INDEVIDA
1.51197953,MIGRACAO INDEVIDA
1.82995840,MIGRACAO INDEVIDA
1.295663063,MIGRACAO INDEVIDA
1.283778799,MIGRACAO INDEVIDA
1.320284525,MIGRACAO INDEVIDA
1.276934789,MIGRACAO INDEVIDA
1.263050095,MIGRACAO INDEVIDA
1.319173777,MIGRACAO INDEVIDA
1.81583896,MIGRACAO INDEVIDA
1.41078040,MIGRACAO INDEVIDA
1.306208062,MIGRACAO INDEVIDA
1.313059083,MIGRACAO INDEVIDA
1.85279269,MIGRACAO INDEVIDA
1.316119165,MIGRACAO INDEVIDA
1.279754901,MIGRACAO INDEVIDA
1.305487092,MIGRACAO INDEVIDA
1.313044224,MIGRACAO INDEVIDA
1.86596455,MIGRACAO INDEVIDA
1.318462061,MIGRACAO INDEVIDA
1.85218088,MIGRACAO INDEVIDA
1.63333997,MIGRACAO INDEVIDA
1.322695087,MIGRACAO INDEVIDA
1.329903254,MIGRACAO INDEVIDA
1.329903914,MIGRACAO INDEVIDA
1.328176389,MIGRACAO INDEVIDA
1.323355767,MIGRACAO INDEVIDA
1.78299299,MIGRACAO INDEVIDA
1.333168807,MIGRACAO INDEVIDA
1.297857043,MIGRACAO INDEVIDA
1.306663043,MIGRACAO INDEVIDA
1.81974363,MIGRACAO INDEVIDA
1.315271578,MIGRACAO INDEVIDA
1.84166699,MIGRACAO INDEVIDA
1.78577017,MIGRACAO INDEVIDA
1.316295736,MIGRACAO INDEVIDA
1.293429463,MIGRACAO INDEVIDA
1.75554349,MIGRACAO INDEVIDA
1.75554280,MIGRACAO INDEVIDA
1.75052167,MIGRACAO INDEVIDA
1.82122521,MIGRACAO INDEVIDA
1.318523819,MIGRACAO INDEVIDA
1.329550718,MIGRACAO INDEVIDA
1.324668858,MIGRACAO INDEVIDA
1.328461352,MIGRACAO INDEVIDA
1.82983284,MIGRACAO INDEVIDA
1.284747760,MIGRACAO INDEVIDA
1.330078377,MIGRACAO INDEVIDA
1.318348857,MIGRACAO INDEVIDA
1.331553084,MIGRACAO INDEVIDA
